Region,Cell_Type,n_cell,P_val(association),P_val(heterogeneity)
Cx_AG_LEC,oligodendrocyte,1208,0.0999001,0.66033965
Cx_AG_LEC,oligodendrocyte precursor cell,452,0.26773226,0.013986014
Cx_AG_LEC,pericyte,9,0.018981019,0.63336664
Cx_AG_LEC,vascular associated smooth muscle cell,4,0.4145854,0.83016986
Cx_APH_MEC,astrocyte,990,0.062937066,0.023976024
Cx_APH_MEC,central nervous system macrophage,437,0.20379621,0.034965035
Cx_APH_MEC,endothelial cell,8,0.030969031,0.64435565
Cx_APH_MEC,fibroblast,42,0.37162837,0.73026973
Cx_APH_MEC,leukocyte,8,0.08591408,0.8521479
Cx_APH_MEC,neuron,46874,0.8131868,0.9010989
Cx_APH_MEC,oligodendrocyte,1533,0.064935066,0.24175824
Cx_APH_MEC,oligodendrocyte precursor cell,457,0.37262738,0.27572426
Cx_APH_MEC,pericyte,8,0.14285715,0.04295704
Cx_APH_MEC,vascular associated smooth muscle cell,5,0.000999001,0.3026973
Cx_CgGC_A2,astrocyte,759,0.21478522,0.16183816
Cx_CgGC_A2,central nervous system macrophage,118,0.08891109,0.63136864
Cx_CgGC_A2,endothelial cell,9,0.18181819,0.02097902
Cx_CgGC_A2,fibroblast,18,0.11588412,0.8931069
Cx_CgGC_A2,leukocyte,4,0.03196803,0.35064936
Cx_CgGC_A2,neuron,32979,0.77722275,0.8591409
Cx_CgGC_A2,oligodendrocyte,1161,0.27272728,0.66733265
Cx_CgGC_A2,oligodendrocyte precursor cell,303,0.4985015,0.65534467
Cx_CgGC_A2,pericyte,6,0.10989011,0.52347654
Cx_CgGC_A2,vascular associated smooth muscle cell,2,0.022977022,0.000999001
Cx_CgGrs,astrocyte,637,0.25974026,0.2027972
Cx_CgGrs,central nervous system macrophage,46,0.11588412,0.21878122
Cx_CgGrs,endothelial cell,4,0.030969031,0.15184815
Cx_CgGrs,fibroblast,11,0.06393606,0.3046953
Cx_CgGrs,leukocyte,2,0.5714286,0.000999001
Cx_CgGrs,neuron,31649,0.38161838,0.56443554
Cx_CgGrs,oligodendrocyte,1488,0.27872127,0.21278721
Cx_CgGrs,oligodendrocyte precursor cell,234,0.5074925,0.95404595
Cx_CgGrs,pericyte,7,0.24975026,0.24875125
Cx_CgGrs_Ventral_division_MFC,astrocyte,783,0.14085914,0.55344653
Cx_CgGrs_Ventral_division_MFC,central nervous system macrophage,552,0.16183816,0.34365633
Cx_CgGrs_Ventral_division_MFC,endothelial cell,17,0.03996004,0.93806195
Cx_CgGrs_Ventral_division_MFC,fibroblast,27,0.2827173,0.46953046
Cx_CgGrs_Ventral_division_MFC,leukocyte,10,0.00999001,0.4135864
Cx_CgGrs_Ventral_division_MFC,neuron,28494,0.76823175,0.8881119
Cx_CgGrs_Ventral_division_MFC,oligodendrocyte,1761,0.24575424,0.997003
Cx_CgGrs_Ventral_division_MFC,oligodendrocyte precursor cell,506,0.5154845,0.98002
Cx_CgGrs_Ventral_division_MFC,pericyte,3,0.033966035,0.000999001
Cx_CgGrs_Ventral_division_MFC,vascular associated smooth muscle cell,4,0.18681319,0.8121878
Cx_Cuneus_caudal_part_Peristriate_Cortex,astrocyte,903,0.21378621,0.2937063
Cx_Cuneus_caudal_part_Peristriate_Cortex,central nervous system macrophage,235,0.13286713,0.8631369
Cx_Cuneus_caudal_part_Peristriate_Cortex,endothelial cell,31,0.1028971,0.056943055
Cx_Cuneus_caudal_part_Peristriate_Cortex,fibroblast,32,0.28671327,0.8871129
Cx_Cuneus_caudal_part_Peristriate_Cortex,leukocyte,7,0.011988012,0.86013985
Cx_Cuneus_caudal_part_Peristriate_Cortex,neuron,29649,0.36763236,0.73626375
Cx_Cuneus_caudal_part_Peristriate_Cortex,oligodendrocyte,1375,0.32367632,0.41658342
Cx_Cuneus_caudal_part_Peristriate_Cortex,oligodendrocyte precursor cell,391,0.6883117,0.24575424
Cx_Cuneus_caudal_part_Peristriate_Cortex,pericyte,12,0.31668332,0.6683317
Cx_Cuneus_caudal_part_Peristriate_Cortex,vascular associated smooth muscle cell,3,0.08491509,0.16783217
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,astrocyte,728,0.037962038,0.13486513
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,central nervous system macrophage,306,0.10489511,0.7752248
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,endothelial cell,17,0.068931065,0.7152847
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,fibroblast,12,0.37362638,0.85514486
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,leukocyte,7,0.35864136,0.9480519
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,neuron,25284,0.5204795,0.5994006
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,oligodendrocyte,1257,0.110889114,0.85514486
